bins_loss,bins_sparse_categorical_accuracy,loss,reject_binary_accuracy,reject_loss,val_bins_loss,val_bins_sparse_categorical_accuracy,val_loss,val_reject_binary_accuracy,val_reject_loss
0.0046754139475524426,0.8751582503318787,0.47359466552734375,0.7780278325080872,0.4686240255832672,0.027839142829179764,0.8808846473693848,0.2621268332004547,0.930489718914032,0.23411206901073456
0.0042265248484909534,0.8699535727500916,0.26000481843948364,0.9043465852737427,0.25559255480766296,0.027839142829179764,0.8808846473693848,0.21152949333190918,0.9434438943862915,0.18352621793746948
0.0036958863493055105,0.8755802512168884,0.2228868007659912,0.918131947517395,0.21899400651454926,0.027839142829179764,0.8808846473693848,0.18614254891872406,0.9510268568992615,0.15816068649291992
0.004517580848187208,0.8725559115409851,0.20602083206176758,0.9260092973709106,0.20145493745803833,0.027839142829179764,0.8808846473693848,0.17410650849342346,0.9522906541824341,0.14613454043865204
0.004893418867141008,0.8753692507743835,0.2024146467447281,0.9270642995834351,0.19755220413208008,0.027839142829179764,0.8808846473693848,0.1696023941040039,0.9497630596160889,0.14164693653583527
0.00528143672272563,0.8712899088859558,0.19871829450130463,0.9288226366043091,0.19336451590061188,0.027839142829179764,0.8808846473693848,0.17006118595600128,0.9545023441314697,0.14208073914051056
0.004315943922847509,0.8733999133110046,0.1984143704175949,0.9266422986984253,0.19397881627082825,0.027839142829179764,0.8808846473693848,0.15889771282672882,0.9532385468482971,0.13094322383403778
0.004602915607392788,0.8720635771751404,0.1962442845106125,0.928963303565979,0.19149503111839294,0.027839142829179764,0.8808846473693848,0.1612817645072937,0.9554502367973328,0.13330835103988647
0.004003345500677824,0.8753692507743835,0.19273582100868225,0.9279786348342896,0.18855054676532745,0.027839142829179764,0.8808846473693848,0.1600652039051056,0.9563981294631958,0.1320958137512207
0.0049273972399532795,0.8698832392692566,0.19631630182266235,0.9275566339492798,0.19197046756744385,0.027839142829179764,0.8808846473693848,0.15420101583003998,0.9554502367973328,0.1262464076280594
