bins_loss,bins_sparse_categorical_accuracy,loss,reject_binary_accuracy,reject_loss,val_bins_loss,val_bins_sparse_categorical_accuracy,val_loss,val_reject_binary_accuracy,val_reject_loss
0.017655644565820694,0.8492052555084229,0.11952231079339981,0.9676466584205627,0.08403219282627106,0.042676299810409546,0.8186413645744324,0.10892296582460403,0.9921011328697205,0.02346811443567276
0.012695188634097576,0.7937825322151184,0.06062805652618408,0.9877619743347168,0.03515869379043579,0.05111580342054367,0.9203791618347168,0.12369289249181747,0.9930489659309387,0.021344179287552834
0.009409699589014053,0.8217751979827881,0.04230491816997528,0.9917709827423096,0.02342529594898224,0.03933931887149811,0.8650869131088257,0.09433284401893616,0.9946287274360657,0.015564884059131145
0.011453203856945038,0.8203685283660889,0.043225258588790894,0.9925446510314941,0.020548194646835327,0.04824884608387947,0.8726698160171509,0.11226895451545715,0.9939968585968018,0.015664977952837944
0.01426270604133606,0.8012378811836243,0.04410414397716522,0.9959206581115723,0.015510673634707928,0.03877238556742668,0.863507091999054,0.09389379620552063,0.9927330017089844,0.016260197386145592
0.005659699905663729,0.783724844455719,0.024967599660158157,0.9950063228607178,0.013733666390180588,0.037025973200798035,0.800000011920929,0.0859268456697464,0.9955766201019287,0.011793527752161026
0.01455257460474968,0.7728231549263,0.04139535501599312,0.9957096576690674,0.012255889363586903,0.04657409340143204,0.7952606678009033,0.10841054469347,0.9936808943748474,0.01515973825007677
0.004839369095861912,0.7626248598098755,0.019474629312753677,0.9959206581115723,0.00976591370999813,0.036991141736507416,0.7763032913208008,0.08530361205339432,0.9946287274360657,0.011240539140999317
0.00445532938465476,0.7905471920967102,0.01716993935406208,0.9971163272857666,0.008240725845098495,0.051945824176073074,0.583254337310791,0.1184457391500473,0.9962085485458374,0.014441953971982002
0.0077675459906458855,0.7976508736610413,0.022306649014353752,0.9973273277282715,0.006737196817994118,0.05193043127655983,0.9140600562095642,0.1154744103550911,0.9939968585968018,0.011504209600389004
