bins_loss,bins_sparse_categorical_accuracy,loss,reject_binary_accuracy,reject_loss,val_bins_loss,val_bins_sparse_categorical_accuracy,val_loss,val_reject_binary_accuracy,val_reject_loss
0.01230537984520197,0.834505558013916,0.1089116707444191,0.9697566628456116,0.08414952456951141,0.02741314098238945,0.8157978057861328,0.07917303591966629,0.9914692044258118,0.02427256479859352
0.01289388444274664,0.8313405513763428,0.05715459957718849,0.9893796443939209,0.03127902373671532,0.032433729618787766,0.8394944667816162,0.08470500260591507,0.9946287274360657,0.01975737139582634
0.024633843451738358,0.7825995087623596,0.07440854609012604,0.9898016452789307,0.025027882307767868,0.030613109469413757,0.5661927461624146,0.07513666152954102,0.9958925843238831,0.013839692808687687
0.009388061240315437,0.70903080701828,0.037461936473846436,0.9931776523590088,0.01864650659263134,0.035652294754981995,0.6483412384986877,0.08279798179864883,0.9955766201019287,0.011415068991482258
0.013756940141320229,0.7531298398971558,0.04291556030511856,0.9944436550140381,0.015372805297374725,0.04927266761660576,0.8050553202629089,0.1129894107580185,0.9933649301528931,0.01433720625936985
0.00801831018179655,0.7844985127449036,0.02997874841094017,0.9944436550140381,0.013897048309445381,0.03562794625759125,0.7364928722381592,0.08409822732210159,0.9955766201019287,0.01276273000985384
0.010079167783260345,0.8043325543403625,0.033158380538225174,0.9955689907073975,0.012951693497598171,0.03532487154006958,0.8097946047782898,0.0825020894408226,0.9952606558799744,0.011774283833801746
0.005113805178552866,0.8542692065238953,0.018761619925498962,0.9966943264007568,0.008506037294864655,0.05812855809926987,0.9175355434417725,0.13198035955429077,0.99494469165802,0.01559828594326973
0.005771704483777285,0.8368968963623047,0.018459385260939598,0.9977493286132812,0.0068882605992257595,0.04009799659252167,0.6698262095451355,0.0929827094078064,0.9943128228187561,0.012698682025074959
0.00592144625261426,0.7342804670333862,0.017648816108703613,0.9978899955749512,0.005980323534458876,0.06017618998885155,0.9061611294746399,0.13307367265224457,0.99494469165802,0.012595254927873611
