bins_loss,bins_sparse_categorical_accuracy,loss,reject_binary_accuracy,reject_loss,val_bins_loss,val_bins_sparse_categorical_accuracy,val_loss,val_reject_binary_accuracy,val_reject_loss
0.013234357349574566,0.8339428901672363,0.11178094148635864,0.9682796597480774,0.0851466953754425,0.02946634218096733,0.7301737666130066,0.07948020845651627,0.9943128228187561,0.020472517237067223
0.02051028609275818,0.8610212206840515,0.07691068947315216,0.9889576435089111,0.035777851939201355,0.03937065601348877,0.8060031533241272,0.09947867691516876,0.9936808943748474,0.020643223077058792
0.016698619350790977,0.7946968674659729,0.05763596296310425,0.9917709827423096,0.024158354848623276,0.024002807214856148,0.7390205264091492,0.06917386502027512,0.9936808943748474,0.0211027804762125
0.00710142171010375,0.7915318608283997,0.03175228461623192,0.9940919876098633,0.017502499744296074,0.03124774433672428,0.7661927342414856,0.08705700188875198,0.9921011328697205,0.02447902038693428
0.009335347451269627,0.8200168609619141,0.03425588831305504,0.994513988494873,0.01563388481736183,0.05503968894481659,0.8546603322029114,0.13201411068439484,0.9892575144767761,0.02180972509086132
0.008292397484183311,0.8355605602264404,0.02907996065914631,0.9957799911499023,0.012450793758034706,0.03884660825133324,0.8110584616661072,0.09116747975349426,0.9943128228187561,0.013387941755354404
0.006878799293190241,0.7930791974067688,0.02326592244207859,0.9962019920349121,0.009484108537435532,0.051386188715696335,0.7744075655937195,0.11451839655637741,0.9958925843238831,0.011637591756880283
0.006983047351241112,0.7493318319320679,0.022705037146806717,0.9969053268432617,0.008703997358679771,0.06075099855661392,0.7368088364601135,0.13458676636219025,0.9943128228187561,0.012957338243722916
0.014624177478253841,0.8221971988677979,0.03797329589724541,0.9965536594390869,0.008668501861393452,0.048096559941768646,0.8477092981338501,0.11046060919761658,0.9952606558799744,0.014162872917950153
0.006468608044087887,0.8276128768920898,0.02217254601418972,0.9967646598815918,0.009202546440064907,0.05089553818106651,0.9213269948959351,0.11421015858650208,0.9958925843238831,0.01231093518435955
